Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Total
1901,10.11292693,52.86237213,7.16807124,75.91737455,32.83112633,83.52890462,188.3794689,119.1800724,44.67558134,88.29363839,24.4074908,0.0,727.3570276
1902,0.240395993,0.0,1.652089566,8.938205138,7.725327194,45.80200803,36.95213428,134.1024394,270.8826513,80.01822722,16.55529702,6.55347532,609.4222505
1903,9.087041855,0.0,0.0,9.145082265,72.51437028,23.70748554,315.8109071,279.0616344,229.4818304,281.1985189,56.13912115,1.791661665,1277.937654
1904,0.0,0.0,8.360286653,6.717636108,33.22669101,101.0474563,155.5681439,26.52176175,170.5477675,67.82869297,0.0,0.0,569.8184361
1905,0.0,1.681272566,9.383353829,13.28400236,73.83294909,49.21473716,53.54253541,229.2921513,93.27745783,52.49714194,0.0,0.0,576.0056015
1906,71.06700501,0.0,0.0,2.812402159,7.633191645,200.1274968,144.3158832,158.6560111,102.8078834,68.67894089,3.477802366,50.04688606,809.6235026
1907,0.961583972,0.0,20.39197803,157.4270694,0.0,118.5770827,181.5829846,201.4442485,65.77846406,0.136468425,3.015004709,26.86888003,776.1837646
1908,1.044521302,0.764223218,3.026494741,1.256567329,0.968646467,122.7483926,97.67535715,166.7670968,497.1166715,2.427806526,0.0,0.0,893.7957776
1909,0.384633586,0.604006857,0.0,66.09405081,4.482250541,151.449612,198.1373219,94.97603118,166.6155578,8.48458612,0.0,0.0,691.2280508
1910,0.0,0.0,0.0,1.46482563,9.38454628,158.4298023,96.79566589,135.1711035,152.6470681,97.07486683,40.75316332,0.0,691.7210418
1911,0.0,0.0,0.223808214,2.994594827,16.19349319,75.0376461,172.6345795,159.5661824,48.76290116,19.17077363,26.43802068,0.0,521.0219997
1912,0.0,56.26370463,0.0,28.62939885,6.658751369,52.7428032,149.2136849,191.8646457,89.00112715,16.45341773,25.76398802,0.0,616.5915216
1913,0.0,6.12254262,0.0,3.660682067,49.45504694,67.71420282,159.1489738,76.59698333,64.69824368,41.80585772,0.0,0.0,469.202533
1914,0.0,0.0,9.602656364,7.599312127,43.40772809,217.844569,263.4915686,158.9279441,250.7819898,0.0,3.082791328,7.041333199,961.7798926
1915,16.03052139,2.466549873,81.30994594,7.889229506,16.34232414,170.2347057,199.6953613,234.8839128,329.0140758,179.2829682,15.23773064,0.0,1252.387325
1916,0.0,9.656148911,0.0,48.50707793,16.6635199,177.487145,254.3703035,85.93208441,262.7283294,289.5504398,53.22159621,15.76997697,1213.886622
1917,0.0,36.10104358,57.79022646,40.36479902,48.46611995,72.49735725,167.9409514,154.2635737,183.8590777,122.0873012,13.47163297,0.0,896.8420831
1918,18.00211143,0.0,26.73601604,12.59738576,57.73523343,44.12000966,111.614001,83.21494509,140.9576007,6.030628681,20.76748723,12.89524174,534.6706607
1919,0.0,0.750806451,0.104856849,32.05069044,15.15738365,217.4645456,148.3657194,96.80820334,190.9916805,98.04756534,165.2311813,18.61964655,983.5922794
1920,48.04020596,0.0,0.0,45.48525016,69.31219542,71.35919936,170.3485218,114.540004,79.39528167,30.42850597,0.0,0.0,628.9091644
1921,1.442375898,0.0,0.0,6.553717554,0.144237593,122.990193,270.0873231,93.00308049,85.60661854,94.12401277,53.23751879,0.0,727.1890777
1922,100.9005519,0.0,0.0,10.54495728,13.88397688,35.42878367,64.35898581,54.14097433,145.4410138,49.79493435,20.31922968,0.0,494.8134077
1923,0.0,10.20872855,7.55284594,6.352729753,16.50621215,24.52045013,243.4652711,81.36519131,214.9925825,0.384633601,0.0,0.0,605.348645
1924,13.1648519,0.0,0.0,13.55459996,13.51699407,56.40531121,165.5389412,131.9347317,189.5585422,89.22016342,135.5119005,0.0,808.4060362
1925,0.0,0.0,0.0,23.08348587,64.71136039,76.47308649,165.3709231,186.6278019,90.43499342,254.3770327,23.66088368,1.983908013,886.7234756
1926,48.26330289,4.721696675,7.125186771,76.46294603,41.7353525,23.73164207,109.8066695,117.6643252,145.9673499,14.15726292,0.0,0.0,589.6357345
1927,0.0,7.791834921,1.172572136,0.127453491,9.675832599,206.3532438,213.6620657,145.915414,190.9917532,38.76295155,146.5682,0.0,961.0213214
1928,0.0,21.11252117,62.15645599,6.942412376,16.65732574,126.4919464,98.10415906,116.735273,194.3077896,146.2036258,0.0,12.63826299,801.3497721
1929,0.0,61.72245395,0.0,28.76063824,4.206786275,85.05432114,79.98344238,115.0389778,195.5623895,20.92112207,0.0,0.207432002,591.4575634
1930,0.0,10.01398659,5.966526031,36.86324596,1.609970808,104.4143215,144.2421545,116.340087,139.3585748,66.64037931,31.85989511,0.0,657.3091415
1931,0.0,0.594050586,6.270940885,0.330028117,54.67975689,157.1398698,293.2984473,131.7308615,234.9452227,45.6640268,63.38832007,0.150361642,988.1918863
1932,0.0,0.0,3.837680042,0.0,21.66556294,25.40767515,185.7034038,95.03744689,159.9479847,73.82907742,9.081886768,0.4661211,574.9768388
1933,0.0,13.61449181,17.71175879,25.82209657,93.27386144,223.2118434,225.3754491,129.3057233,116.4304355,138.2172669,56.15561983,64.30286109,1103.421408
1934,0.315375686,0.0,0.825070322,16.41980372,1.714122802,105.0914271,183.7993644,145.468968,96.06715378,13.74096656,38.77312934,0.0,602.2153817
1935,33.17626143,1.714122653,1.670826465,73.03096662,1.274214618,98.8642953,162.3650184,107.6471352,112.6653109,97.8155188,0.0,0.0,690.2236705
1936,0.0,38.15071714,4.854050145,8.096672058,48.11149417,96.00560608,121.2624229,134.3130415,133.1928668,113.273385,114.4489857,24.39063108,836.0998726
1937,0.0,20.16267493,69.49493048,171.5652454,0.869428158,89.19829488,96.21210468,76.90101961,191.6794045,52.43138929,0.0,0.0,768.5144919
1938,0.0,34.54806414,8.963746309,7.783209264,21.54244887,104.4016264,148.3192251,228.349542,146.8920428,30.34158051,0.0,0.0,731.1414854
1939,0.0,0.0,16.47450572,18.81068921,5.760051727,43.19423287,111.0023643,131.2187968,124.1481676,131.623445,14.56151026,0.0,596.7937635
1940,0.0,0.0,0.0,53.15744548,140.9574452,58.66778067,140.1498472,152.5527785,99.00235443,57.97680664,20.60483336,8.376065254,731.4453568
1941,6.832990766,8.296379805,0.495042145,16.25591453,29.2429544,58.10532707,76.36726726,97.99114703,124.3376155,23.98861144,0.225542456,0.541301906,442.6800944
1942,0.0,3.837680042,0.0,21.66556294,25.40767515,185.7034038,95.03744689,164.559578,73.82907742,9.081886768,0.4661211,0.0,579.588432
1943,0.0,0.0,2.288087934,41.96268833,37.78588313,185.2746874,96.1385904,66.89238539,267.4874305,92.55343252,3.992345333,0.0,794.3755308
1944,0.0,0.958455175,138.6912326,0.688749582,8.206885427,166.1622915,110.9772052,101.7562785,173.5973531,134.9623314,13.01006961,0.0,849.0108521
1945,1.041799188,1.166814923,0.0,34.6446695,2.317448258,125.1651598,236.6724891,155.939755,75.40628742,133.6394364,17.0486533,0.0,783.0425129
1946,0.0,24.00219357,0.0,15.33269215,20.90786424,101.9777532,173.6043137,77.38771775,79.65232428,18.91271061,70.65474477,0.0,582.4323142
1947,0.0,12.27394544,0.84202522,0.87935406,6.330502898,92.97807181,125.8353618,277.7839016,263.3432684,64.30483472,0.1250159,30.37224138,875.0685233
1948,1.375174761,0.0,0.315759458,47.40178187,6.203517169,51.03106372,155.5653895,132.9405553,116.0865684,24.93701699,138.2875775,0.0,674.1444047
1949,0.0,0.0,0.0,17.35270935,17.22336772,166.0269702,89.50128631,127.0624277,107.7197139,24.46141586,0.150361642,0.0,549.4982527
1950,0.0,17.01452303,1.6287729,0.208359823,13.97090219,54.98895629,272.1622019,150.3138973,322.7296799,36.76099899,0.0,0.0,869.7782924
1951,0.0,0.0,42.34461561,19.63373041,21.04589061,104.4112808,239.0292594,102.0665056,140.5224646,106.9962778,0.0,0.0,776.0500249
1952,0.0,0.0,0.796916783,12.89852467,52.15113533,62.20826617,98.44382621,105.5436535,64.11668252,91.10107875,0.442429692,1.383327149,489.0858408
