date,temp_max,temp_min,precipitation,humidity,wind_speed_max,wind_gusts_max,solar_radiation,et0_evapotranspiration,soil_moisture_0_10cm,pressure_msl
2015-01-01,28.2,18.8,0.2,69,15.7,31.0,13.73,3.32,0.2,1009.8
2015-01-02,27.5,19.6,0.0,72,12.8,30.2,12.38,2.83,0.2,1012.4
2015-01-03,26.6,19.6,4.0,84,10.3,33.8,11.75,2.36,0.2,1014.1
2015-01-04,25.7,19.6,0.6,85,9.3,19.8,9.12,1.96,0.2,1015.1
2015-01-05,27.6,17.6,0.0,70,13.6,30.2,17.5,3.74,0.2,1014.9
2015-01-06,27.4,16.5,0.0,61,11.0,25.9,18.95,4.03,0.2,1014.9
2015-01-07,28.3,15.5,0.0,52,9.0,23.8,18.13,4.07,0.2,1013.9
2015-01-08,27.5,16.0,0.0,52,8.3,23.0,18.39,4.12,0.2,1014.7
2015-01-09,26.6,14.1,0.0,42,11.6,28.8,20.15,4.64,0.2,1016.7
2015-01-10,26.8,11.1,0.0,42,10.7,25.6,20.48,4.65,0.2,1016.8
2015-01-11,26.9,11.2,0.0,39,12.0,27.0,20.52,4.8,0.2,1016.6
2015-01-12,27.0,11.6,0.0,39,10.7,23.8,20.57,4.84,0.2,1016.0
2015-01-13,27.2,13.7,0.0,39,10.8,25.2,20.61,4.81,0.2,1014.7
2015-01-14,27.9,12.2,0.0,45,10.2,26.6,20.49,4.61,0.2,1014.2
2015-01-15,27.3,15.4,0.0,57,12.9,33.1,19.65,4.31,0.2,1014.8
2015-01-16,27.7,14.6,0.0,46,9.7,26.3,20.31,4.54,0.2,1015.5
2015-01-17,27.8,14.2,0.0,36,11.6,29.2,20.6,5.05,0.2,1015.7
2015-01-18,28.1,13.8,0.0,40,10.5,27.0,20.45,4.71,0.2,1015.8
2015-01-19,27.7,15.4,0.0,48,15.1,34.2,20.08,4.73,0.2,1015.4
2015-01-20,27.6,16.0,0.0,57,16.2,35.6,17.23,4.23,0.2,1016.5
2015-01-21,27.3,16.4,0.0,60,16.4,35.3,16.47,4.19,0.2,1018.2
2015-01-22,27.9,16.2,0.0,57,17.3,37.1,19.65,4.62,0.2,1018.0
2015-01-23,28.2,16.0,0.0,56,14.3,34.6,19.54,4.67,0.2,1015.6
2015-01-24,28.6,16.6,0.0,54,15.8,34.9,20.04,4.95,0.2,1016.0
2015-01-25,28.6,16.5,0.0,48,20.5,43.2,20.7,5.55,0.2,1017.0
2015-01-26,27.9,16.0,0.0,55,19.9,41.4,20.62,4.94,0.2,1016.5
2015-01-27,28.0,15.6,0.0,50,16.3,36.4,21.27,5.25,0.2,1015.4
2015-01-28,27.9,15.2,0.0,58,14.4,33.1,21.04,4.82,0.2,1013.8
2015-01-29,28.4,16.2,0.0,58,13.0,32.0,20.87,4.72,0.2,1014.6
2015-01-30,28.1,15.9,0.0,61,10.9,28.4,19.97,4.37,0.2,1016.3
2015-01-31,28.9,16.8,0.0,55,14.1,31.7,21.11,4.78,0.2,1016.4
2015-02-01,28.9,14.8,0.0,58,10.2,24.1,21.17,4.65,0.2,1016.0
2015-02-02,28.8,16.8,0.0,62,14.4,31.7,20.81,4.87,0.2,1017.0
2015-02-03,28.0,18.0,0.0,63,14.5,33.5,20.76,4.67,0.2,1019.6
2015-02-04,29.2,14.3,0.0,55,13.0,31.0,21.3,4.96,0.2,1018.6
2015-02-05,29.6,15.0,0.0,45,14.7,33.5,21.45,5.35,0.2,1016.6
2015-02-06,29.6,15.8,0.0,37,14.8,33.1,21.25,5.79,0.2,1016.0
2015-02-07,29.3,16.0,0.0,43,15.8,35.3,21.25,5.77,0.2,1015.2
2015-02-08,29.7,16.9,0.0,49,15.8,32.0,20.85,5.46,0.2,1014.6
2015-02-09,29.8,17.0,0.0,54,17.6,36.7,21.2,5.6,0.2,1015.1
2015-02-10,28.8,16.4,0.0,61,19.5,41.8,21.76,5.13,0.2,1016.3
2015-02-11,28.8,16.1,0.0,60,13.5,32.8,21.77,4.9,0.2,1015.4
2015-02-12,30.0,15.8,0.0,52,11.6,29.5,22.45,5.2,0.2,1014.0
2015-02-13,31.3,17.2,0.0,45,11.0,23.8,22.16,5.37,0.2,1013.0
2015-02-14,31.6,18.5,0.0,41,9.2,24.1,22.11,5.34,0.2,1012.3
2015-02-15,32.6,18.5,0.0,40,9.5,18.7,22.74,5.44,0.2,1012.2
2015-02-16,32.6,17.5,0.0,42,9.7,18.4,22.85,5.37,0.2,1013.4
2015-02-17,33.2,17.2,0.0,41,11.6,22.0,23.07,5.41,0.2,1012.7
2015-02-18,33.2,19.4,0.0,37,14.1,32.8,22.92,6.08,0.2,1011.1
2015-02-19,31.4,18.4,0.0,46,16.1,32.4,19.45,5.52,0.2,1012.1
2015-02-20,30.1,19.6,0.0,44,13.8,28.4,19.39,5.24,0.2,1013.5
2015-02-21,30.4,19.1,0.0,48,12.2,29.9,19.83,5.13,0.2,1013.9
2015-02-22,32.4,17.6,0.0,45,10.6,26.6,23.33,5.76,0.2,1014.3
2015-02-23,32.5,19.2,0.0,36,12.6,30.6,23.6,6.19,0.2,1014.2
2015-02-24,33.0,19.3,0.0,32,12.7,30.2,23.87,6.63,0.2,1012.9
2015-02-25,33.1,19.6,0.0,28,11.2,26.3,24.16,6.35,0.2,1011.2
2015-02-26,33.5,19.5,0.0,30,13.9,27.7,24.03,6.56,0.2,1009.7
2015-02-27,33.1,20.0,0.0,31,15.9,28.1,24.01,6.65,0.2,1010.2
2015-02-28,32.1,19.6,0.0,53,17.3,37.8,20.59,5.96,0.2,1010.4
2015-03-01,29.7,20.9,5.9,74,19.8,42.5,13.21,3.44,0.2,1011.2
2015-03-02,28.0,20.4,11.5,77,11.6,39.6,17.05,3.61,0.2,1013.3
2015-03-03,30.2,19.7,0.0,63,13.2,28.4,21.56,4.93,0.2,1012.3
2015-03-04,29.1,18.4,0.0,50,12.7,28.8,23.94,5.39,0.2,1012.5
2015-03-05,31.0,19.3,0.0,53,12.7,29.9,22.31,5.25,0.2,1013.4
2015-03-06,30.1,20.9,0.6,72,11.7,27.0,16.79,3.64,0.2,1014.6
2015-03-07,30.5,20.6,0.2,69,7.9,22.0,18.53,3.95,0.2,1013.9
2015-03-08,31.1,20.8,0.1,65,12.3,27.7,20.72,4.87,0.2,1014.1
2015-03-09,30.6,20.4,0.0,62,12.1,22.7,20.96,4.55,0.2,1015.9
2015-03-10,30.9,21.6,0.8,65,9.0,27.0,21.1,4.72,0.2,1016.0
2015-03-11,32.6,20.5,0.0,45,13.7,28.8,24.53,6.29,0.2,1015.5
2015-03-12,32.5,19.3,0.0,43,14.0,33.5,24.94,6.47,0.2,1015.7
2015-03-13,33.7,19.1,0.0,44,12.7,30.2,25.02,6.62,0.2,1014.3
2015-03-14,34.1,20.7,0.0,36,17.4,34.9,25.64,7.61,0.2,1014.5
2015-03-15,34.0,18.5,0.0,45,16.5,36.7,25.24,6.99,0.2,1014.3
2015-03-16,34.0,20.4,0.0,48,12.8,31.3,22.67,5.9,0.2,1014.4
2015-03-17,34.3,20.2,0.0,45,9.8,20.2,22.63,5.55,0.2,1013.5
2015-03-18,35.2,22.0,0.0,36,9.4,20.2,24.5,6.27,0.2,1011.4
2015-03-19,35.0,23.4,0.0,38,11.9,30.6,23.09,6.45,0.2,1012.2
2015-03-20,35.8,22.0,0.0,31,14.2,33.5,25.51,7.27,0.2,1013.2
2015-03-21,35.8,22.1,0.0,33,10.8,27.4,23.85,6.75,0.2,1013.8
2015-03-22,36.2,24.8,0.0,34,8.8,23.0,24.34,6.48,0.2,1012.8
2015-03-23,36.5,22.6,0.0,36,9.4,21.2,23.86,6.43,0.2,1010.9
2015-03-24,37.1,23.0,0.0,34,9.2,23.8,24.13,6.73,0.2,1010.0
2015-03-25,35.8,21.9,0.0,38,14.8,29.9,23.17,6.82,0.2,1010.9
2015-03-26,34.7,22.1,0.0,47,13.1,31.0,23.1,6.44,0.2,1013.1
2015-03-27,34.8,22.0,0.0,42,13.9,33.8,24.56,6.71,0.2,1013.7
2015-03-28,35.1,22.4,0.0,37,11.5,27.7,24.2,6.73,0.2,1012.1
2015-03-29,34.5,22.4,0.0,47,12.4,28.8,22.23,5.81,0.2,1010.7
2015-03-30,32.4,23.0,0.0,52,8.4,20.5,19.78,4.8,0.2,1011.4
2015-03-31,33.9,23.1,0.5,53,10.0,23.0,21.48,5.31,0.2,1011.3
2015-04-01,34.0,23.1,0.0,50,12.6,19.1,21.4,5.25,0.2,1010.4
2015-04-02,35.0,23.9,0.0,48,13.9,30.6,21.37,5.66,0.2,1009.1
2015-04-03,36.9,24.6,0.0,39,12.0,28.8,25.54,7.07,0.2,1007.0
2015-04-04,36.7,24.3,0.0,32,17.7,36.0,26.71,7.54,0.2,1005.6
2015-04-05,36.8,22.3,0.0,33,13.7,29.9,26.92,6.93,0.2,1006.5
2015-04-06,37.1,23.4,0.0,44,13.2,26.6,25.26,6.64,0.2,1006.6
2015-04-07,35.7,24.0,0.0,52,16.0,29.9,22.49,6.3,0.2,1007.8
2015-04-08,35.8,23.9,0.0,53,16.5,31.7,24.79,6.81,0.2,1009.5
2015-04-09,35.4,23.1,0.0,52,15.3,27.7,23.93,6.41,0.2,1010.5
2015-04-10,34.9,24.0,0.4,57,11.6,26.3,23.88,5.62,0.2,1010.8
2015-04-11,31.1,23.2,6.6,67,16.7,34.2,14.78,3.53,0.2,1011.8
